,nega
0,취약점
1,보완
2,하기
3,위해
4,무작정
5,강력한
6,보안
7,장치
8,도입
9,할
10,수도
11,없다
12,시장조사
13,업체
14,인
15,램
16,익스
17,체인지
18,따르면
19,지난해
20,램
21,고
22,정거
23,래
24,가는
25,달러
26,전월
27,대비
28,변동
29,없었다
30,사업
31,처음
32,부터
33,직접
34,키우려
35,했다면
36,쿠팡
37,플레이
38,타임
39,투
40,마켓
41,제품
42,개발
43,부터
44,판매
45,걸리는
46,시간
47,걸렸을
48,회사
49,임금
50,인상
51,률
52,이나
53,퇴직
54,률
55,운용
56,수익률
57,연
58,금액
59,산정
60,기초
61,되는
62,모든
63,사항
64,대해
65,책임
66,지는
67,대신
68,근로자
69,가입자
70,일절
71,선택
72,권
73,없다
74,위성정당
75,중도
76,층
77,흡수
78,위해
79,만든
80,아니다
81,장자
82,철학
83,하도
84,넓어서
85,아무리
86,해석
87,되어도
88,끝
89,보이지
90,않는
91,다년
92,강남
93,개발
94,한창
95,이던
96,시기
97,봉은사
98,당시
99,주지
100,사찰
101,소유
102,이던
103,땅
104,판매
105,거부
106,영웅
107,되어
108,돌아가기
109,위해
110,서
111,온
112,아니다
113,봉
114,감독
115,말
116,처럼
117,미국인
118,자막
119,있는
120,외국
121,영화
122,즐겨
123,보지
124,않는다
125,그러나
126,공
127,처
128,같은
129,주장
130,받아들이지
131,않았다
132,제
133,아무
134,리
135,우량
136,기업
137,이라
138,해도
139,뒤
140,어떤
141,상황
142,처
143,해
144,있을지
145,장담
146,할
147,없다
148,한편
149,헌법재판소
150,지난달
151,음주운전
152,이나
153,음주
154,측정
155,거부
156,전력
157,있는
158,운전자
159,다시
160,범행
161,저지를
162,경우
163,가중
164,처벌
165,하
166,도록
167,한
168,도로교통법
169,제조
170,제
171,항
172,위헌
173,이라고
174,결정
175,윤창
176,호법
177,효력
178,잃었다말
179,그대로
180,예상
181,지표
182,여서
183,신뢰
184,할
185,건
186,못
187,된다
188,후세
189,나를
190,알아주길
191,바라는
192,아니
193,다그
194,남북한
195,통일
196,되지
197,않을
198,경우
199,상상
200,하기는
201,매우
202,어렵다고
203,갓
204,폐단
205,이루
206,다
207,말
208,할
209,없다
210,비중
